n,g,steps,dt,target_depth,ansatz_depth,compression_ratio,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
6,1.5,2,0.1,8,4,2,0.011176042147305297,0.009390528381580904,0.08259282297339524,0.09092277674345083,0.00832995377005559,0,1.2941201250068843
6,1.5,2,0.1,8,2,4,0.012746612288603751,0.010960710660849343,0.0931973843694288,0.09319738436965753,2.287336986483979e-13,1,0.46785575011745095
6,1.5,2,0.1,8,1,8,0.29925367959661975,0.2639310139787751,2.198087768395425,2.1980877683954287,3.552713678800501e-15,1,0.2639891249127686
6,1.5,4,0.1,16,8,2,0.051787371347292596,0.04724687348475905,0.47109355810776066,0.5778083822404366,0.10671482413267597,0,9.462299082893878
6,1.5,4,0.1,16,4,4,0.038126872746536505,0.03488757117845544,0.3035703774070782,0.5647487971615901,0.2611784197545119,0,3.0118660419248044
6,1.5,4,0.1,16,2,8,0.10920962848271465,0.09622271384542991,0.7946527753477862,0.7946527753478578,7.16093850883226e-14,1,0.6564616251271218
6,1.5,6,0.1,24,12,2,0.01724533776960402,0.01583827972628758,0.09228129090287834,1.044685497948274,0.9524042070453957,0,14.008890416938812
6,1.5,6,0.1,24,6,4,0.04030713725331454,0.03826721846946254,0.06777804755402464,5.254964127474005,5.1871860799199805,0,5.4613673749845475
6,1.5,6,0.1,24,3,8,0.028738205328143543,0.025770560461157305,0.20933756960844363,0.21830047587079193,0.008962906262348302,0,1.8087927498854697
6,1.5,8,0.1,32,16,2,0.04223332760566435,0.038008715454689736,0.21518189068980514,0.32324983000224394,0.1080679393124388,0,22.786527500022203
6,1.5,8,0.1,32,8,4,0.06676489732531213,0.059463087020225604,0.2905428768691169,4.26390582443248,3.973362947563363,0,8.038375583011657
6,1.5,8,0.1,32,4,8,0.03636228607934067,0.03275607534558704,0.26855218298115713,0.4508196298961227,0.18226744691496555,0,2.9196440000087023
8,0.3,2,0.1,8,4,2,0.0026894462480448102,0.0025393567978666018,0.042314385948427985,12.245859684548769,12.203545298600341,0,2.2688475830946118
8,0.3,2,0.1,8,2,4,0.0030455012229991733,0.0028586589291179935,0.04637599554913232,0.04637599555158374,2.451421010629673e-12,1,0.8197729168459773
8,0.3,2,0.1,8,1,8,0.3597961376685306,0.33462601736814845,5.473396068159154,5.47339606815917,1.5987211554602254e-14,1,0.38181554176844656
8,0.3,4,0.1,16,8,2,0.019600844612052654,0.018511237410439058,0.32760246819639555,0.3707111278879381,0.04310865969154254,0,10.421732542105019
8,0.3,4,0.1,16,4,4,0.025864789977135566,0.025040121870717386,0.3906620988356342,12.084650601343332,11.693988502507699,0,4.1420140829868615
8,0.3,4,0.1,16,2,8,0.029420433519921442,0.02736849863585341,0.43974904718468216,0.4397490471858455,1.1633471963534703e-12,1,1.174852415919304
8,0.3,6,0.1,24,12,2,0.03827067083019045,0.03735142447290639,0.6897370978818614,1.0878188347216442,0.39808173683978276,0,29.86446883296594
