n,g,steps,dt,target_depth,ansatz_depth,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
4,1.5,6,0.1,24,4,0.011829345634689386,0.010039101554288457,0.0413557132368968,0.05283820892580279,0.01148249568890599,0,0.7171318330802023
4,1.5,6,0.1,24,5,0.005055087425917977,0.004596000851539854,0.013547133250603636,0.03758985210642594,0.0240427188558223,0,0.967250790912658
4,1.5,6,0.1,24,8,0.0059318666624713755,0.005711388741702726,0.02330928513495325,0.14016189384757935,0.1168526087126261,0,1.5456850421614945
4,1.5,6,0.1,24,10,0.014714777766467974,0.012765188248256069,0.05136068989942923,0.09277038816289318,0.041409698263463954,0,1.9612011250574142
4,1.5,8,0.1,32,2,0.372958726386264,0.312422831277422,1.3083129732632663,1.3083129732632814,1.509903313490213e-14,1,0.3070771670900285
4,1.5,8,0.1,32,3,0.015516154805601926,0.01478020911916488,0.06183201065033544,0.061838921676755886,6.911026420447497e-06,0,0.5385017499793321
4,1.5,8,0.1,32,5,0.012607298326826884,0.011887914109108388,0.04874723788199448,0.061812851154398565,0.013065613272404082,0,0.9722407080698758
4,1.5,8,0.1,32,6,0.014097598875874685,0.011982440935815141,0.05423056698960002,0.1616213933963969,0.10739082640679687,0,1.134932165965438
4,1.5,8,0.1,32,10,0.018724203271175396,0.01635572801706202,0.07077350001962515,0.1259282844213795,0.055154784401754336,0,2.0064765829592943
4,1.5,8,0.1,32,12,0.06363429359521064,0.05000703171676485,0.062355609858665076,0.6088223283718533,0.5464667185131883,0,2.5511652079876512
4,1.5,12,0.1,48,2,0.5646974142070031,0.5045242096154208,2.0908959753311214,2.090895975331128,6.661338147750939e-15,1,0.4356904171872884
4,1.5,12,0.1,48,3,0.10464742857816085,0.0992934113137755,0.4111326218127388,0.41113262181282517,8.637535131583718e-14,1,0.7119040829129517
4,1.5,12,0.1,48,4,0.0037101435477202246,0.003572847378436915,0.025503749278790802,0.17005559041490187,0.14455184113611108,0,0.9295876671094447
4,1.5,12,0.1,48,5,0.031191905641337433,0.02659799926331024,0.11282267881920381,0.9687597046498083,0.8559370258306045,0,1.1419540410861373
4,1.5,12,0.1,48,6,0.005976707100191745,0.0052224137039777975,0.024559884709540368,0.029167371539003385,0.0046074868294630165,0,1.5464216670952737
4,1.5,12,0.1,48,8,0.004084129608915021,0.003668651721510689,0.02476082767373186,0.03691357141704029,0.01215274374330843,0,2.0705014171544462
4,1.5,12,0.1,48,10,0.009725641256661945,0.008068704570711493,0.026271020594129963,0.12701211573266688,0.10074109513853692,0,3.061720250174403
4,1.5,12,0.1,48,12,0.055803750392734046,0.04662188672240325,0.14728368193100597,0.3480321375896746,0.20074845565866864,0,2.6143668331205845
4,1.5,16,0.1,64,2,0.7370631700297282,0.6547453811294326,2.8478783992685797,3.9256363894077926,1.077757990139213,0,2.5888072908855975
4,1.5,16,0.1,64,3,0.2691113169601391,0.24653415224457023,0.9891444600006083,3.1792661144124787,2.1901216544118705,0,2.2158158749807626
4,1.5,16,0.1,64,4,0.02250129334859498,0.022099901424102782,0.14243058287783678,0.14243058287806126,2.2448709557920665e-13,1,1.8811853339429945
4,1.5,16,0.1,64,5,0.031057640886594302,0.025423707485788472,0.1458279937082662,0.43429541945702804,0.28846742574876183,0,2.004779249895364
4,1.5,16,0.1,64,6,0.023096182296046028,0.02219026796489822,0.14183768932200902,0.7478417366811984,0.6060040473591893,0,2.866270791972056
4,1.5,16,0.1,64,8,0.26237761209412147,0.21512599799363893,0.1379985049599164,1.0443630479156876,0.9063645429557712,0,3.6908227500971407
4,1.5,16,0.1,64,10,0.03696451291011117,0.030469532482445633,0.14428761109575036,0.16668920678548238,0.022401595689732018,0,3.804412249941379
4,1.5,16,0.1,64,12,0.2238281144341348,0.1772050900902026,0.14552480111110117,0.9768973126166296,0.8313725115055284,0,4.413447541883215
6,0.3,4,0.1,16,3,0.0027059721996433132,0.002532161957061837,0.019598830855770657,0.021126867950946294,0.0015280370951756377,0,2.2286040000617504
6,0.3,4,0.1,16,5,0.0028777020530821413,0.002680599123314773,0.017011416045947313,3.0789669667409845,3.0619555506950373,0,3.4975118341390043
6,0.3,4,0.1,16,6,0.01141589583850735,0.01049890675757095,0.09397636031912453,0.15765464537895843,0.0636782850598339,0,4.103906332980841
