config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
overparam_g1,10,1.0,8,10,0.25,1,1250,32,0.0006657653504886785,12.32819579099305,6.940910105259455e-05
overparam_g1,10,1.0,8,10,0.3,1,1300,32,0.0012419905449507773,12.937232417054474,8.638204381403176e-05
overparam_g1,10,1.0,8,10,0.4,1,1400,32,0.005269450165932499,11.793833332834765,0.0006209038318483119
overparam_g1,10,1.0,8,10,0.5,1,1500,32,0.000770064428007533,11.854051165981218,3.0310711346140876e-05
overparam_g1,10,1.0,8,10,0.7,1,1700,32,0.0004031923150691341,11.943909916095436,1.4561459305370132e-05
overparam_g1,10,1.0,8,10,0.0,2,2000,32,0.0007969144047135224,12.676149999955669,4.922134918308946e-05
overparam_g1,10,1.0,8,10,0.05,2,2050,32,0.0005402249775008361,12.318466458003968,2.8160142843775157e-05
overparam_g1,10,1.0,8,10,0.1,2,2100,32,0.0009486428405254266,12.432615541154519,4.894851457826162e-05
overparam_g1,10,1.0,8,10,0.15,2,2150,32,0.0007323675471346824,12.447830707998946,2.486190071180431e-05
overparam_g1,10,1.0,8,10,0.2,2,2200,32,0.000709429814414797,12.063402999890968,3.958563516313856e-05
overparam_g1,10,1.0,8,10,0.25,2,2250,32,0.0010241331133518106,12.008618165971711,7.427442661312476e-05
overparam_g1,10,1.0,8,10,0.3,2,2300,32,0.0005370871117260645,12.368375041987747,2.2150151607897738e-05
overparam_g1,10,1.0,8,10,0.4,2,2400,32,0.000521081753089625,11.981901499908417,2.562615614012812e-05
overparam_g1,10,1.0,8,10,0.5,2,2500,32,0.0009778221087040073,11.416717999847606,4.166648369871788e-05
overparam_g1,10,1.0,8,10,0.7,2,2700,32,0.0004889532370360161,11.370329209137708,2.440180608360681e-05
overparam_g1,10,1.0,8,10,0.0,3,3000,32,0.0007576127722390691,12.539257916854694,7.006496985485433e-05
overparam_g1,10,1.0,8,10,0.05,3,3050,32,0.00047087715698346244,12.0742786671035,1.2546880542459188e-05
overparam_g1,10,1.0,8,10,0.1,3,3100,32,0.001720402847988467,12.432900459039956,0.0001908231969541689
overparam_g1,10,1.0,8,10,0.15,3,3150,32,0.0007619590535408172,12.139228500192985,5.309704868332846e-05
overparam_g1,10,1.0,8,10,0.2,3,3200,32,0.0009114068150610777,12.721258041914552,7.54136874356557e-05
overparam_g1,10,1.0,8,10,0.25,3,3250,32,0.046607115563646495,12.138762124814093,0.0002601748567292943
overparam_g1,10,1.0,8,10,0.3,3,3300,32,0.0005056762859263486,11.818162833806127,1.8537769194178372e-05
overparam_g1,10,1.0,8,10,0.4,3,3400,32,0.00048011234311196027,11.814166832948104,1.9015946271027156e-05
overparam_g1,10,1.0,8,10,0.5,3,3500,32,0.000763131176581,11.985748625127599,6.035245087687562e-05
overparam_g1,10,1.0,8,10,0.7,3,3700,32,0.0007601964940071593,11.162398874992505,2.4937776498586525e-05
