n_qubits,dt,steps,total_time,target_depth,ansatz_depth,frac,diamond_bound,delta_ens,R,best_single_frob,active_circuits
6,0.1,1,0.1,4,3,0.75,19.344588322846384,1.8036725307883015,3.967019443016354,2.742542636746971,4
6,0.1,1,0.1,4,4,1.0,20.034598296468786,1.789738706382659,4.056491203454467,2.5226810997896094,4
6,0.1,2,0.2,8,2,0.25,22.296276314928726,1.8342804050176118,4.315983723891171,2.576832088510622,4
6,0.1,2,0.2,8,4,0.5,24.36323488899597,2.3476802985287244,4.434847719137436,3.103022401756221,4
6,0.1,2,0.2,8,6,0.75,32.70324711318652,2.486343953810879,5.265981314585607,3.870121587606538,5
6,0.1,2,0.2,8,8,1.0,54.77343744435449,3.1223614296097435,6.966255420606899,4.782090501668988,5
6,0.1,4,0.4,16,4,0.25,36.65551097476895,3.577762050711061,5.4313890371936004,4.387933501238669,4
6,0.1,4,0.4,16,8,0.5,60.146022651468606,3.790594584099479,7.250160928094607,5.373773964566284,5
6,0.1,4,0.4,16,12,0.75,84.72071774931838,4.247172970108424,8.730771547183075,5.08971665528725,5
6,0.1,4,0.4,16,16,1.0,128.3121444250831,6.177655407004047,10.768325478507556,7.200152426434012,5
6,0.1,8,0.8,32,8,0.25,142.33382583931885,7.519113204621522,11.28253515084601,8.619483784307464,5
6,0.1,8,0.8,32,16,0.5,148.04016369291665,8.695775848594646,11.430162378362231,11.006089567440618,5
6,0.1,8,0.8,32,24,0.75,144.90665125773597,8.692528813536764,11.292545932191839,11.073393013267076,5
